"brutto","bruttoMonthly","term","medicare","oldAge","disability","unemployment","solidarityFund","socAll","health","fixedExpenses","nonTaxable","taxBase1","taxBase","incomeTax19","incomeTax25","netto","nettoMonthly"
40500,3375,12,1782,7290,2430,810,1923.75,14235.75,5670,20000,3803.33,594.249999999999,0,0,0,20594.25,1716.1875
41000,3416.66666666667,12,1804,7380,2460,820,1947.5,14411.5,5740,20000,3803.33,848.499999999999,0,0,0,20848.5,1737.375
41500,3458.33333333333,12,1826,7470,2490,830,1971.25,14587.25,5810,20000,3803.33,1102.75,0,0,0,21102.75,1758.5625
42000,3500,12,1848,7560,2520,840,1995,14763,5880,20000,3803.33,1357,0,0,0,21357,1779.75
42500,3541.66666666667,12,1870,7650,2550,850,2018.75,14938.75,5950,20000,3803.33,1611.25,0,0,0,21611.25,1800.9375
43000,3583.33333333333,12,1892,7740,2580,860,2042.5,15114.5,6020,20000,3803.33,1865.5,0,0,0,21865.5,1822.125
43500,3625,12,1914,7830,2610,870,2066.25,15290.25,6090,20000,3803.33,2119.75,0,0,0,22119.75,1843.3125
44000,3666.66666666667,12,1936,7920,2640,880,2090,15466,6160,20000,3803.33,2374,0,0,0,22374,1864.5
44500,3708.33333333333,12,1958,8010,2670,890,2113.75,15641.75,6230,20000,3803.33,2628.25,0,0,0,22628.25,1885.6875
45000,3750,12,1980,8100,2700,900,2137.5,15817.5,6300,20000,3803.33,2882.5,0,0,0,22882.5,1906.875
45500,3791.66666666667,12,2002,8190,2730,910,2161.25,15993.25,6370,20000,3803.33,3136.75,0,0,0,23136.75,1928.0625
46000,3833.33333333333,12,2024,8280,2760,920,2185,16169,6440,20000,3803.33,3391,0,0,0,23391,1949.25
46500,3875,12,2046,8370,2790,930,2208.75,16344.75,6510,20000,3803.33,3645.25,0,0,0,23645.25,1970.4375
47000,3916.66666666667,12,2068,8460,2820,940,2232.5,16520.5,6580,20000,3803.33,3899.5,96.1699999999992,18.2722999999998,0,23881.2277,1990.10230833333
47500,3958.33333333333,12,2090,8550,2850,950,2256.25,16696.25,6650,20000,3803.33,4153.75,350.419999999999,66.5797999999998,0,24087.1702,2007.26418333333
48000,4000,12,2112,8640,2880,960,2280,16872,6720,20000,3803.33,4408,604.669999999999,114.8873,0,24293.1127,2024.42605833333
48500,4041.66666666667,12,2134,8730,2910,970,2303.75,17047.75,6790,20000,3803.33,4662.25,858.919999999999,163.1948,0,24499.0552,2041.58793333333
49000,4083.33333333333,12,2156,8820,2940,980,2327.5,17223.5,6860,20000,3803.33,4916.5,1113.17,211.5023,0,24704.9977,2058.74980833333
49500,4125,12,2178,8910,2970,990,2351.25,17399.25,6930,20000,3803.33,5170.75,1367.42,259.8098,0,24910.9402,2075.91168333333
50000,4166.66666666667,12,2200,9000,3000,1000,2375,17575,7000,20000,3803.33,5425,1621.67,308.1173,0,25116.8827,2093.07355833333
50500,4208.33333333333,12,2222,9090,3030,1010,2398.75,17750.75,7070,20000,3803.33,5679.25,1875.92,356.4248,0,25322.8252,2110.23543333333
51000,4250,12,2244,9180,3060,1020,2422.5,17926.5,7140,20000,3803.33,5933.5,2130.17,404.7323,0,25528.7677,2127.39730833333
51500,4291.66666666667,12,2266,9270,3090,1030,2446.25,18102.25,7210,20000,3803.33,6187.75,2384.42,453.0398,0,25734.7102,2144.55918333333
52000,4333.33333333333,12,2288,9360,3120,1040,2470,18278,7280,20000,3803.33,6442,2638.67,501.3473,0,25940.6527,2161.72105833333
52500,4375,12,2310,9450,3150,1050,2493.75,18453.75,7350,20000,3803.33,6696.25,2892.92,549.6548,0,26146.5952,2178.88293333333
53000,4416.66666666667,12,2332,9540,3180,1060,2517.5,18629.5,7420,20000,3803.33,6950.5,3147.17,597.9623,0,26352.5377,2196.04480833333
53500,4458.33333333333,12,2354,9630,3210,1070,2541.25,18805.25,7490,20000,3803.33,7204.75,3401.42,646.2698,0,26558.4802,2213.20668333333
54000,4500,12,2376,9720,3240,1080,2565,18981,7560,20000,3803.33,7459,3655.67,694.5773,0,26764.4227,2230.36855833333
54500,4541.66666666667,12,2398,9810,3270,1090,2588.75,19156.75,7630,20000,3803.33,7713.25,3909.92,742.8848,0,26970.3652,2247.53043333333
55000,4583.33333333333,12,2420,9900,3300,1100,2612.5,19332.5,7700,20000,3803.33,7967.5,4164.17,791.1923,0,27176.3077,2264.69230833333
55500,4625,12,2442,9990,3330,1110,2636.25,19508.25,7770,20000,3803.33,8221.75,4418.42,839.4998,0,27382.2502,2281.85418333333
56000,4666.66666666667,12,2464,10080,3360,1120,2660,19684,7840,20000,3803.33,8476,4672.67,887.8073,0,27588.1927,2299.01605833333
